"county"	"tract"	"sldl12"	"cntyname"	"LandSQMI"	"afact"
"county"	"2010 Tract"	"sldl12"	"cntyname"	"Land Area Sq Mls"	"tract to sldl12 alloc factor"
"06001"	"4416.01"	"020"	"Alameda CA"	0.499	1 
"06001"	"4416.02"	"020"	"Alameda CA"	0.65	1 
"06001"	"4417.00"	"020"	"Alameda CA"	0.861	1 
"06001"	"4418.00"	"020"	"Alameda CA"	0.788	1 
"06001"	"4419.21"	"025"	"Alameda CA"	0.327	1 
"06001"	"4419.23"	"020"	"Alameda CA"	0.582	1 
"06001"	"4419.24"	"020"	"Alameda CA"	0.844	1 
"06001"	"4419.25"	"020"	"Alameda CA"	0.176	0.152 
"06001"	"4419.25"	"025"	"Alameda CA"	0.984	0.848 
"06001"	"4419.26"	"025"	"Alameda CA"	0.158	1 
"06001"	"4419.27"	"025"	"Alameda CA"	0.251	1 
"06001"	"4420.00"	"020"	"Alameda CA"	3.138	1 
"06001"	"4421.00"	"025"	"Alameda CA"	0.705	1 
"06001"	"4422.00"	"025"	"Alameda CA"	1.625	1 
"06001"	"4423.01"	"025"	"Alameda CA"	0.552	1 
"06001"	"4423.02"	"025"	"Alameda CA"	0.372	1 
"06001"	"4424.00"	"025"	"Alameda CA"	0.611	1 
"06001"	"4425.00"	"020"	"Alameda CA"	0.174	0.229 
"06001"	"4425.00"	"025"	"Alameda CA"	0.583	0.771 
"06001"	"4426.01"	"020"	"Alameda CA"	0.456	1 
"06001"	"4426.02"	"020"	"Alameda CA"	0.509	1 
"06001"	"4427.00"	"020"	"Alameda CA"	0.476	1 
"06001"	"4428.00"	"025"	"Alameda CA"	0.494	1 
"06001"	"4429.00"	"025"	"Alameda CA"	0.799	1 
"06001"	"4430.01"	"025"	"Alameda CA"	0.297	1 
"06001"	"4430.02"	"025"	"Alameda CA"	0.61	1 
"06001"	"4431.02"	"025"	"Alameda CA"	0.92	1 
"06001"	"4431.03"	"025"	"Alameda CA"	5.992	1 
"06001"	"4431.04"	"025"	"Alameda CA"	0.713	1 
"06001"	"4431.05"	"025"	"Alameda CA"	1.27	1 
"06001"	"4432.00"	"025"	"Alameda CA"	5.267	1 
"06001"	"4433.01"	"025"	"Alameda CA"	0.619	1 
"06001"	"4433.21"	"025"	"Alameda CA"	0.216	1 
"06001"	"4433.22"	"025"	"Alameda CA"	0.443	1 
"06001"	"4441.00"	"025"	"Alameda CA"	1.141	1 
"06001"	"4442.00"	"025"	"Alameda CA"	0.799	1 
"06001"	"4443.01"	"025"	"Alameda CA"	0.995	1 
"06001"	"4443.02"	"020"	"Alameda CA"	0.009	0.001 
"06001"	"4443.02"	"025"	"Alameda CA"	8.605	0.999 
"06001"	"4444.00"	"025"	"Alameda CA"	0.397	1 
"06001"	"4445.00"	"025"	"Alameda CA"	0.758	1 
"06001"	"4446.01"	"025"	"Alameda CA"	1.178	1 
"06001"	"4446.02"	"025"	"Alameda CA"	2.08	1 
"06001"	"4501.01"	"016"	"Alameda CA"	0.7	1 
"06001"	"4501.02"	"016"	"Alameda CA"	3.7	1 
"06001"	"4502.00"	"016"	"Alameda CA"	0.626	1 
"06001"	"4503.00"	"016"	"Alameda CA"	1.21	1 
"06001"	"4504.00"	"016"	"Alameda CA"	1.218	1 
"06001"	"4505.01"	"016"	"Alameda CA"	0.449	1 
"06001"	"4505.02"	"016"	"Alameda CA"	2.334	0.541 
"06001"	"4505.02"	"020"	"Alameda CA"	1.983	0.459 
"06001"	"4506.01"	"016"	"Alameda CA"	4.226	0.217 
"06001"	"4506.01"	"020"	"Alameda CA"	15.224	0.783 
"06001"	"4506.02"	"016"	"Alameda CA"	2.392	1 
"06001"	"4506.03"	"016"	"Alameda CA"	1.516	1 
"06001"	"4506.04"	"016"	"Alameda CA"	0.816	1 
"06001"	"4506.05"	"016"	"Alameda CA"	0.686	1 
"06001"	"4506.06"	"016"	"Alameda CA"	0.78	1 
"06001"	"4506.07"	"016"	"Alameda CA"	1.864	1 
"06001"	"4507.01"	"016"	"Alameda CA"	5.927	0.058 
"06001"	"4507.01"	"020"	"Alameda CA"	96.873	0.942 
"06001"	"4507.41"	"016"	"Alameda CA"	0.81	1 
"06001"	"4507.42"	"016"	"Alameda CA"	3.003	1 
"06001"	"4507.43"	"016"	"Alameda CA"	1.657	1 
"06001"	"4507.44"	"016"	"Alameda CA"	1.008	1 
"06001"	"4507.45"	"016"	"Alameda CA"	2.816	1 
"06001"	"4507.46"	"016"	"Alameda CA"	0.669	1 
"06001"	"4507.50"	"016"	"Alameda CA"	0.654	1 
"06001"	"4507.51"	"016"	"Alameda CA"	3.78	1 
"06001"	"4507.52"	"016"	"Alameda CA"	6.789	1 
"06001"	"4511.01"	"016"	"Alameda CA"	213.467	1 
"06001"	"4511.02"	"016"	"Alameda CA"	1.847	1 
"06001"	"4512.01"	"016"	"Alameda CA"	1.419	1 
"06001"	"4512.02"	"016"	"Alameda CA"	17.747	1 
"06001"	"4513.00"	"016"	"Alameda CA"	4.899	1 
"06001"	"4514.01"	"016"	"Alameda CA"	1.79	1 
"06001"	"4514.03"	"016"	"Alameda CA"	0.26	1 
"06001"	"4514.04"	"016"	"Alameda CA"	0.647	1 
"06001"	"4515.01"	"016"	"Alameda CA"	1.951	1 
"06001"	"4515.03"	"016"	"Alameda CA"	1.032	1 
"06001"	"4515.04"	"016"	"Alameda CA"	1.25	1 
"06001"	"4515.05"	"016"	"Alameda CA"	0.53	1 
"06001"	"4515.06"	"016"	"Alameda CA"	0.329	1 
"06001"	"4516.01"	"016"	"Alameda CA"	1.52	1 
"06001"	"4516.02"	"016"	"Alameda CA"	1.163	1 
"06001"	"4517.01"	"016"	"Alameda CA"	0.472	1 
"06001"	"4517.03"	"016"	"Alameda CA"	0.658	1 
"06001"	"4517.04"	"016"	"Alameda CA"	0.774	1 
"06001"	"9819.00"	"018"	"Alameda CA"	1.446	1 
"06001"	"9820.00"	"018"	"Alameda CA"	0.49	1 
"06001"	"9832.00"	"018"	"Alameda CA"	0.191	1 
"06003"	"0100.00"	"005"	"Alpine CA"	738.332	1 
"06005"	"0001.01"	"005"	"Amador CA"	24.331	1 
"06005"	"0001.02"	"005"	"Amador CA"	176.149	1 
"06005"	"0002.00"	"005"	"Amador CA"	124.741	1 
"06005"	"0003.01"	"005"	"Amador CA"	75.533	1 
"06005"	"0003.03"	"005"	"Amador CA"	52.63	1 
"06005"	"0003.04"	"005"	"Amador CA"	54.687	1 
"06005"	"0004.01"	"005"	"Amador CA"	16.372	1 
"06005"	"0004.02"	"005"	"Amador CA"	28.334	1 
"06005"	"0005.00"	"005"	"Amador CA"	41.806	1 
"06007"	"0001.02"	"003"	"Butte CA"	1.027	1 
"06007"	"0001.03"	"003"	"Butte CA"	1.196	1 
"06007"	"0001.04"	"003"	"Butte CA"	0.985	1 
"06007"	"0002.01"	"003"	"Butte CA"	1.334	1 
"06007"	"0002.02"	"003"	"Butte CA"	0.663	1 
"06007"	"0003.00"	"003"	"Butte CA"	0.965	1 
"06007"	"0004.01"	"003"	"Butte CA"	1.719	1 
"06007"	"0004.02"	"003"	"Butte CA"	2.411	1 
"06007"	"0005.01"	"003"	"Butte CA"	2.105	1 
"06007"	"0005.02"	"003"	"Butte CA"	0.442	1 
"06007"	"0006.01"	"003"	"Butte CA"	0.698	1 
"06007"	"0006.03"	"003"	"Butte CA"	0.428	1 
"06007"	"0006.04"	"003"	"Butte CA"	0.393	1 
"06007"	"0007.00"	"003"	"Butte CA"	1.215	1 
"06007"	"0008.00"	"003"	"Butte CA"	1.508	1 
"06007"	"0009.01"	"003"	"Butte CA"	6.408	1 
"06007"	"0009.03"	"003"	"Butte CA"	2.289	1 
"06007"	"0009.04"	"003"	"Butte CA"	1.685	1 
"06007"	"0010.00"	"003"	"Butte CA"	0.955	1 
"06007"	"0011.00"	"003"	"Butte CA"	2.573	1 
"06007"	"0012.00"	"003"	"Butte CA"	3.343	1 
"06007"	"0013.00"	"003"	"Butte CA"	1.56	1 
"06007"	"0014.00"	"003"	"Butte CA"	122.509	1 
"06007"	"0015.00"	"003"	"Butte CA"	135.418	1 
"06007"	"0016.00"	"001"	"Butte CA"	176.163	0.817 
"06007"	"0016.00"	"003"	"Butte CA"	39.487	0.183 
"06007"	"0017.02"	"001"	"Butte CA"	10.82	0.814 
"06007"	"0017.02"	"003"	"Butte CA"	2.474	0.186 
"06007"	"0017.03"	"001"	"Butte CA"	1.479	1 
"06007"	"0017.04"	"001"	"Butte CA"	125.67	1 
"06007"	"0018.00"	"001"	"Butte CA"	1.761	0.377 
"06007"	"0018.00"	"003"	"Butte CA"	2.912	0.623 
"06007"	"0019.00"	"001"	"Butte CA"	1.316	0.389 
"06007"	"0019.00"	"003"	"Butte CA"	2.068	0.611 
"06007"	"0020.00"	"003"	"Butte CA"	2.768	1 
"06007"	"0021.00"	"003"	"Butte CA"	3.564	1 
"06007"	"0022.00"	"003"	"Butte CA"	52.708	1 
"06007"	"0023.00"	"001"	"Butte CA"	3.417	0.117 
"06007"	"0023.00"	"003"	"Butte CA"	25.746	0.883 
