"county","tract","cbsa","cntyname","cbsaname","hus10","afact","AFACT2"
"06001","4093.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1614,1,0.001
"06001","4094.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1260,1,0.001
"06001","4095.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1007,1,0.001
"06001","4096.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1561,1,0.001
"06001","4097.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1697,1,0.001
"06001","4098.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1289,1,0.001
"06001","4099.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1415,1,0.001
"06001","4100.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1179,1,0.001
"06001","4101.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1003,1,0.001
"06001","4102.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1179,1,0.001
"06001","4103.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1044,1,0.001
"06001","4104.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1352,1,0.001
"06001","4105.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",948,1,0.001
"06001","4201.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",926,1,0.001
"06001","4202.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1307,1,0.001
"06001","4203.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",2140,1,0.001
"06001","4204.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1185,1,0.001
"06001","4205.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",995,1,0.001
"06001","4206.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1336,1,0.001
"06001","4211.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",886,1,0.001
"06001","4212.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1547,1,0.001
"06001","4213.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1750,1,0.001
"06001","4214.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",695,1,0
"06001","4215.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1647,1,0.001
"06001","4216.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1707,1,0.001
"06001","4217.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1679,1,0.001
"06001","4218.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",931,1,0.001
"06001","4219.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1792,1,0.001
"06001","4220.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",729,1,0
"06001","4221.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1255,1,0.001
"06001","4222.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1629,1,0.001
"06001","4223.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1802,1,0.001
"06001","4224.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",2378,1,0.001
"06001","4225.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1711,1,0.001
"06001","4226.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",14,1,0
"06001","4227.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1383,1,0.001
"06001","4228.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1691,1,0.001
"06001","4229.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",2171,1,0.001
"06001","4230.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",2208,1,0.001
"06001","4231.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1967,1,0.001
"06001","4232.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1168,1,0.001
"06001","4233.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1745,1,0.001
"06001","4234.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",2196,1,0.001
"06001","4235.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1577,1,0.001
"06001","4236.01","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1321,1,0.001
"06001","4236.02","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",2716,1,0.002
"06001","4237.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1501,1,0.001
"06001","4238.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1324,1,0.001
"06001","4239.01","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",950,1,0.001
"06001","4239.02","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",801,1,0
"06001","4240.01","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1585,1,0.001
"06001","4240.02","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",998,1,0.001
"06001","4251.01","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1293,1,0.001
"06001","4251.02","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1893,1,0.001
"06001","4251.03","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1424,1,0.001
"06001","4251.04","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",2036,1,0.001
"06001","4261.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",2189,1,0.001
"06001","4262.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1735,1,0.001
"06001","4271.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1469,1,0.001
"06001","4272.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1730,1,0.001
"06001","4273.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",2212,1,0.001
"06001","4276.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1881,1,0.001
"06001","4277.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",2429,1,0.001
"06001","4278.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",2136,1,0.001
"06001","4279.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",2224,1,0.001
"06001","4280.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1429,1,0.001
"06001","4281.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",2056,1,0.001
